year,selling_price,km_driven,fuel,seller_type,owner,mileage,engine,max_power,torque,seats,transmission_Automatic,transmission_Manual
2014,450000,30.0,1,1,0,23.0,1248.0,74.0,190.0,5.0,False,True
2014,370000,25.0,1,1,2,21.0,1498.0,103.0,250.0,5.0,False,True
2006,158000,29.0,3,1,4,17.0,1497.0,78.0,12.0,5.0,False,True
2010,225000,26.0,1,1,0,23.0,1396.0,90.0,22.0,5.0,False,True
2007,130000,25.0,3,1,0,16.0,1298.0,88.0,11.0,5.0,False,True
2017,440000,9.0,3,1,0,20.0,1197.0,81.0,113.0,5.0,False,True
2007,96000,37.0,2,1,0,17.0,1061.0,57.0,7.0,5.0,False,True
2001,45000,1.0,3,1,2,16.0,796.0,37.0,59.0,4.0,False,True
2011,350000,19.0,1,1,0,23.0,1364.0,67.0,170.0,5.0,False,True
2013,200000,35.0,1,1,0,20.0,1399.0,68.0,160.0,5.0,False,True
2014,500000,14.0,1,1,2,19.0,1461.0,108.0,248.0,5.0,False,True
2005,92000,21.0,3,1,2,17.0,993.0,60.0,78.0,5.0,False,True
2009,280000,29.0,1,1,2,19.0,1248.0,73.0,190.0,5.0,False,True
2007,200000,16.0,3,1,2,18.0,1248.0,88.0,200.0,5.0,False,True
2009,180000,19.0,3,1,2,18.0,1061.0,67.0,84.0,5.0,False,True
2016,400000,8.0,3,1,0,18.0,1198.0,82.0,115.0,5.0,False,True
2016,778000,14.0,1,1,2,24.0,1248.0,88.0,200.0,7.0,False,True
2012,500000,11.0,1,1,2,23.0,1396.0,90.0,22.0,5.0,False,True
2002,150000,16.0,3,1,2,19.0,796.0,46.0,62.0,5.0,False,True
2016,680000,21.0,1,1,0,22.0,1396.0,88.0,219.0,5.0,False,True
2011,174000,21.0,1,1,2,21.0,1461.0,64.0,160.0,5.0,False,True
2017,950000,10.0,1,1,0,25.0,1498.0,98.0,200.0,5.0,False,True
2015,525000,8.0,1,1,0,26.0,1248.0,74.0,190.0,5.0,False,True
2012,600000,15.0,1,1,0,21.0,1248.0,88.0,200.0,5.0,False,True
2018,500000,7.0,3,1,0,20.0,1199.0,83.0,114.0,5.0,False,True
2016,575000,9.0,3,1,0,21.0,1197.0,83.0,115.0,5.0,False,True
2017,275000,5.0,3,1,0,24.0,796.0,47.0,69.0,5.0,False,True
2013,300000,14.0,1,1,0,18.0,1248.0,73.0,172.0,7.0,False,True
2009,220000,25.0,3,1,0,18.0,1061.0,67.0,84.0,5.0,False,True
2018,254999,5.0,3,1,0,16.0,796.0,34.0,59.0,8.0,False,True
2017,670000,14.0,1,1,0,24.0,1248.0,88.0,200.0,5.0,False,True
2003,70000,10.0,3,1,2,18.0,1248.0,88.0,200.0,5.0,False,True
2012,150000,7.0,3,1,2,14.0,796.0,35.0,6.0,5.0,False,True
2018,730000,0.0,3,1,0,18.0,1197.0,81.0,114.0,5.0,False,True
2017,650000,3.0,1,1,0,24.0,1248.0,88.0,200.0,5.0,False,True
2019,330000,2.0,0,1,2,33.0,796.0,40.0,60.0,4.0,False,True
2019,366000,3.0,3,1,0,23.0,998.0,67.0,90.0,5.0,False,True
2019,1149000,1.0,3,1,0,17.0,1591.0,121.0,151.0,5.0,False,True
2016,150000,8.0,3,1,0,20.0,1198.0,67.0,104.0,5.0,False,True
2011,425000,12.0,1,1,2,13.0,2179.0,138.0,320.0,7.0,False,True
2012,150000,16.0,3,1,0,16.0,796.0,37.0,59.0,4.0,False,True
2019,2100000,1.0,3,1,0,16.0,1368.0,160.0,250.0,5.0,True,False
2018,925000,6.0,3,0,0,17.0,1497.0,117.0,145.0,5.0,False,True
2013,425000,18.0,3,0,0,16.0,1497.0,116.0,146.0,5.0,False,True
2018,675000,4.0,3,0,0,18.0,1197.0,83.0,115.0,5.0,True,False
2018,819999,6.0,1,0,0,24.0,1248.0,88.0,200.0,5.0,False,True
2018,390000,2.0,3,0,0,23.0,998.0,67.0,90.0,5.0,False,True
2014,1500000,16.0,1,0,0,12.0,2982.0,168.0,343.0,7.0,False,True
2013,700000,20.0,1,0,0,12.0,2494.0,100.0,200.0,7.0,False,True
2014,1450000,5.0,1,0,2,14.0,2143.0,120.0,200.0,5.0,True,False
2015,425000,10.0,1,0,0,24.0,1498.0,98.0,200.0,5.0,False,True
2013,1090000,31.0,1,0,0,13.0,2477.0,175.0,400.0,7.0,False,True
2015,600000,11.0,1,0,0,26.0,1498.0,98.0,200.0,5.0,False,True
2018,850000,13.0,3,0,0,20.0,1462.0,103.0,138.0,5.0,False,True
2015,525000,13.0,1,0,0,27.0,1498.0,98.0,200.0,5.0,False,True
2016,1650000,27.0,1,0,2,11.0,2755.0,171.0,360.0,7.0,True,False
2016,950000,20.0,1,0,0,12.0,2494.0,100.0,200.0,7.0,False,True
2013,1750000,7.0,1,0,2,17.0,1968.0,174.0,380.0,5.0,True,False
2018,1590000,5.0,3,0,0,14.0,1798.0,138.0,173.0,5.0,True,False
2013,1689999,10.0,1,0,0,18.0,1968.0,187.0,400.0,5.0,True,False
2013,1425000,12.0,1,0,0,14.0,2143.0,170.0,400.0,5.0,True,False
2011,265000,25.0,1,1,0,21.0,1248.0,88.0,200.0,5.0,False,True
2011,190000,23.0,3,1,4,20.0,1197.0,78.0,111.0,5.0,False,True
2013,425000,12.0,1,1,0,21.0,1396.0,88.0,219.0,5.0,False,True
2015,630000,31.0,1,1,2,26.0,1248.0,74.0,190.0,5.0,False,True
2017,600000,5.0,3,1,4,18.0,1196.0,86.0,112.0,5.0,False,True
2019,650000,6.0,3,1,0,21.0,1197.0,83.0,115.0,5.0,False,True
2016,540000,8.0,1,1,0,22.0,1498.0,108.0,250.0,5.0,False,True
2015,630000,28.0,1,1,0,25.0,1498.0,98.0,200.0,5.0,False,True
2018,448000,6.0,3,1,0,20.0,998.0,67.0,90.0,5.0,True,False
2017,500000,16.0,1,1,0,21.0,1498.0,108.0,250.0,5.0,False,True
2016,745000,14.0,1,1,0,24.0,1248.0,88.0,200.0,5.0,False,True
2019,1025000,2.0,1,1,0,24.0,1248.0,88.0,200.0,5.0,True,False
2011,235000,12.0,3,1,2,20.0,1197.0,78.0,111.0,5.0,False,True
2016,630000,14.0,1,1,0,25.0,1248.0,74.0,190.0,5.0,False,True
2015,1700000,16.0,1,1,2,12.0,2982.0,168.0,343.0,7.0,False,True
2013,450000,25.0,1,1,2,22.0,1248.0,74.0,190.0,5.0,False,True
2012,450000,25.0,3,1,2,16.0,1373.0,93.0,130.0,7.0,False,True
2003,50000,14.0,1,1,0,18.0,1248.0,88.0,200.0,5.0,False,True
2013,450000,36.0,1,1,0,20.0,1598.0,103.0,250.0,5.0,False,True
2016,1200000,29.0,1,1,0,12.0,2494.0,100.0,200.0,8.0,False,True
2015,610000,19.0,1,1,0,22.0,1498.0,98.0,205.0,5.0,False,True
2016,2500000,6.0,3,1,2,15.0,1998.0,189.0,280.0,5.0,True,False
2017,484999,2.0,3,0,0,23.0,998.0,67.0,90.0,5.0,False,True
2016,275000,10.0,3,0,0,19.0,1198.0,67.0,104.0,5.0,False,True
2016,315000,6.0,3,0,0,24.0,796.0,47.0,69.0,5.0,False,True
2016,275000,8.0,3,0,0,24.0,796.0,47.0,69.0,5.0,False,True
2015,475000,16.0,1,0,0,18.0,1248.0,88.0,200.0,5.0,False,True
2012,290000,5.0,3,0,0,19.0,1086.0,68.0,99.0,5.0,False,True
2017,280000,6.0,3,0,0,14.0,796.0,35.0,6.0,5.0,False,True
2010,225000,9.0,2,0,0,26.0,998.0,58.0,77.0,5.0,False,True
2015,455000,8.0,3,0,0,16.0,1198.0,74.0,110.0,5.0,False,True
2015,351000,9.0,3,0,2,19.0,1086.0,68.0,99.0,5.0,False,True
2012,535000,2.0,3,0,2,15.0,1598.0,103.0,153.0,5.0,False,True
2009,175000,11.0,3,0,0,18.0,998.0,67.0,90.0,5.0,False,True
2013,525000,13.0,3,0,0,18.0,1197.0,82.0,113.0,5.0,False,True
2016,600000,31.0,1,1,0,26.0,1248.0,74.0,190.0,5.0,False,True
2016,565000,15.0,3,0,0,19.0,1197.0,82.0,114.0,5.0,True,False
2008,120000,14.0,3,0,4,19.0,796.0,46.0,62.0,5.0,False,True
2017,725000,23.0,1,1,0,22.0,1396.0,88.0,219.0,5.0,False,True
2009,185000,16.0,3,0,2,21.0,998.0,67.0,90.0,5.0,False,True
2010,200000,21.0,1,1,2,18.0,1248.0,90.0,200.0,5.0,False,True
2019,615000,2.0,3,1,0,21.0,1197.0,81.0,113.0,5.0,False,True
2016,270000,21.0,3,1,4,15.0,1196.0,73.0,101.0,7.0,False,True
2018,610000,7.0,3,1,0,21.0,1197.0,83.0,115.0,5.0,False,True
2014,625000,14.0,1,1,2,11.0,2179.0,120.0,290.0,8.0,True,False
2020,400000,1.0,3,1,2,19.0,1194.0,94.0,120.0,5.0,False,True
2017,866000,8.0,3,1,0,17.0,1591.0,121.0,151.0,5.0,False,True
2010,700000,24.0,3,1,0,14.0,1798.0,160.0,250.0,5.0,False,True
2010,300000,10.0,3,1,0,15.0,1172.0,65.0,96.0,5.0,False,True
2019,1700000,6.0,1,1,0,15.0,2179.0,155.0,360.0,7.0,False,True
2016,375000,21.0,1,1,0,19.0,1405.0,69.0,135.0,5.0,False,True
2013,522000,31.0,1,1,2,22.0,1582.0,126.0,259.0,5.0,False,True
2013,451999,14.0,1,1,0,21.0,1396.0,88.0,219.0,5.0,False,True
2009,300000,21.0,3,1,2,14.0,1798.0,138.0,173.0,5.0,False,True
2020,475000,2.0,3,1,0,21.0,998.0,67.0,90.0,5.0,False,True
2016,780000,12.0,1,1,0,24.0,1248.0,88.0,200.0,5.0,False,True
2017,595000,8.0,3,1,0,20.0,1197.0,83.0,115.0,5.0,False,True
2017,440000,7.0,3,1,0,20.0,998.0,67.0,90.0,5.0,False,True
2010,300000,25.0,1,1,2,18.0,1248.0,88.0,200.0,5.0,False,True
2014,400000,14.0,1,1,4,20.0,1461.0,83.0,200.0,5.0,False,True
2016,1140000,10.0,1,1,0,19.0,1582.0,126.0,259.0,5.0,False,True
2017,850000,16.0,1,1,0,23.0,1498.0,98.0,205.0,5.0,False,True
2012,370000,37.0,1,1,1,19.0,1248.0,73.0,190.0,5.0,False,True
2018,350000,5.0,3,1,0,23.0,999.0,67.0,91.0,5.0,False,True
2015,360000,8.0,3,1,2,23.0,998.0,67.0,90.0,5.0,False,True
2008,105000,13.0,3,1,1,19.0,796.0,46.0,62.0,5.0,False,True
2013,625000,19.0,1,1,2,20.0,1248.0,88.0,200.0,7.0,False,True
2009,135000,16.0,3,1,2,17.0,1086.0,62.0,96.0,5.0,False,True
2015,700000,23.0,1,1,2,20.0,1248.0,88.0,200.0,7.0,False,True
2019,690000,0.0,3,0,0,17.0,1198.0,86.0,109.0,5.0,False,True
2018,3975000,6.0,1,0,0,17.0,1968.0,188.0,400.0,5.0,True,False
2017,3200000,9.0,1,0,0,19.0,1999.0,177.0,430.0,5.0,True,False
2019,4500000,4.0,1,0,0,12.0,1999.0,148.0,382.0,7.0,True,False
2018,3790000,6.0,1,0,0,22.0,1995.0,187.0,400.0,5.0,True,False
2017,2150000,5.0,1,0,0,18.0,1248.0,88.0,200.0,5.0,True,False
2019,5800000,1.0,1,0,0,16.0,1995.0,190.0,400.0,5.0,True,False
2018,1864999,10.0,3,0,0,14.0,1798.0,177.0,250.0,5.0,True,False
2016,2700000,7.0,1,0,0,15.0,2143.0,204.0,500.0,5.0,True,False
2019,1750000,4.0,3,0,0,13.0,1451.0,141.0,250.0,5.0,True,False
2017,795000,8.0,3,0,0,18.0,1497.0,117.0,145.0,5.0,True,False
